Id,WnvPresent
1,0.02829846
2,0.011213324
3,0.0088546295
4,0.00072058354
5,0.00072058354
6,0.00072058354
7,0.02829846
8,0.00072058354
9,0.013748695
10,0.011729015
11,0.0064384933
12,0.001539638
13,0.001539638
14,0.001539638
15,0.013748695
16,0.001539638
17,0.02829846
18,0.011213324
19,0.0088546295
20,0.00072058354
21,0.00072058354
22,0.00072058354
23,0.02829846
24,0.00072058354
25,0.038655337
26,0.015416467
27,0.013905098
28,0.0009946399
29,0.0009946399
30,0.0009946399
31,0.038655337
32,0.0009946399
33,0.013748695
34,0.011729015
35,0.0064384933
36,0.001539638
37,0.001539638
38,0.001539638
39,0.013748695
40,0.001539638
41,0.07315174
42,0.03815949
43,0.035390183
44,0.005128247
45,0.005128247
46,0.005128247
47,0.07315174
48,0.005128247
49,0.013748695
50,0.011729015
51,0.0064384933
52,0.001539638
53,0.001539638
54,0.001539638
55,0.013748695
56,0.001539638
57,0.013748695
58,0.011729015
59,0.0064384933
60,0.001539638
61,0.001539638
62,0.001539638
63,0.013748695
64,0.001539638
65,0.07315174
66,0.03815949
67,0.035390183
68,0.005128247
69,0.005128247
70,0.005128247
71,0.07315174
72,0.005128247
73,0.02829846
74,0.011213324
75,0.0088546295
76,0.00072058354
77,0.00072058354
78,0.00072058354
79,0.02829846
80,0.00072058354
81,0.07315174
82,0.03815949
83,0.035390183
84,0.005128247
85,0.005128247
86,0.005128247
87,0.07315174
88,0.005128247
89,0.07315174
90,0.03815949
91,0.035390183
92,0.005128247
93,0.005128247
94,0.005128247
95,0.07315174
96,0.005128247
97,0.02829846
98,0.011213324
99,0.0088546295
100,0.00072058354
101,0.00072058354
102,0.00072058354
103,0.02829846
104,0.00072058354
105,0.013748695
106,0.011729015
107,0.0064384933
108,0.001539638
109,0.001539638
110,0.001539638
111,0.013748695
112,0.001539638
113,0.036066823
114,0.016345194
115,0.0077647856
116,0.0009042508
117,0.0009042508
118,0.0009042508
119,0.036066823
120,0.0009042508
121,0.013748695
122,0.011729015
123,0.0064384933
124,0.001539638
125,0.001539638
126,0.001539638
127,0.013748695
128,0.001539638
129,0.013748695
130,0.011729015
131,0.0064384933
132,0.001539638
133,0.001539638
134,0.001539638
135,0.013748695
136,0.001539638
137,0.07315174
138,0.03815949
139,0.035390183
140,0.005128247
141,0.005128247
142,0.005128247
143,0.07315174
144,0.005128247
145,0.038655337
146,0.015416467
147,0.013905098
148,0.0009946399
149,0.0009946399
150,0.0009946399
151,0.038655337
152,0.0009946399
153,0.038655337
154,0.015416467
155,0.013905098
156,0.0009946399
157,0.0009946399
158,0.0009946399
159,0.038655337
160,0.0009946399
161,0.038655337
162,0.015416467
163,0.013905098
164,0.0009946399
165,0.0009946399
166,0.0009946399
167,0.038655337
168,0.0009946399
169,0.013748695
170,0.011729015
171,0.0064384933
172,0.001539638
173,0.001539638
174,0.001539638
175,0.013748695
176,0.001539638
177,0.013748695
178,0.011729015
179,0.0064384933
180,0.001539638
181,0.001539638
182,0.001539638
183,0.013748695
184,0.001539638
185,0.038655337
186,0.015416467
187,0.013905098
188,0.0009946399
189,0.0009946399
190,0.0009946399
191,0.038655337
192,0.0009946399
193,0.07315174
194,0.03815949
195,0.035390183
196,0.005128247
197,0.005128247
198,0.005128247
199,0.07315174
200,0.005128247
201,0.04253101
202,0.01700336
203,0.015338851
204,0.001351962
205,0.001351962
206,0.001351962
207,0.04253101
208,0.001351962
209,0.07315174
210,0.03815949
211,0.035390183
212,0.005128247
213,0.005128247
214,0.005128247
215,0.07315174
216,0.005128247
217,0.04253101
218,0.01700336
219,0.015338851
220,0.001351962
221,0.001351962
222,0.001351962
223,0.04253101
224,0.001351962
225,0.013748695
226,0.011729015
227,0.0064384933
228,0.001539638
229,0.001539638
230,0.001539638
231,0.013748695
232,0.001539638
233,0.04253101
234,0.01700336
235,0.015338851
236,0.001351962
237,0.001351962
238,0.001351962
239,0.04253101
240,0.001351962
241,0.013748695
242,0.011729015
243,0.0064384933
244,0.001539638
245,0.001539638
246,0.001539638
247,0.013748695
248,0.001539638
249,0.04253101
250,0.01700336
251,0.015338851
252,0.001351962
253,0.001351962
254,0.001351962
255,0.04253101
256,0.001351962
257,0.013748695
258,0.011729015
259,0.0064384933
260,0.001539638
261,0.001539638
262,0.001539638
263,0.013748695
264,0.001539638
265,0.013748695
266,0.011729015
267,0.0064384933
268,0.001539638
269,0.001539638
270,0.001539638
271,0.013748695
272,0.001539638
273,0.07315174
274,0.03815949
275,0.035390183
276,0.005128247
277,0.005128247
278,0.005128247
279,0.07315174
280,0.005128247
281,0.013748695
282,0.011729015
283,0.0064384933
284,0.001539638
285,0.001539638
286,0.001539638
287,0.013748695
288,0.001539638
289,0.013748695
290,0.011729015
291,0.0064384933
292,0.001539638
293,0.001539638
294,0.001539638
295,0.013748695
296,0.001539638
297,0.07315174
298,0.03815949
299,0.035390183
300,0.005128247
301,0.005128247
302,0.005128247
303,0.07315174
304,0.005128247
305,0.013748695
306,0.011729015
307,0.0064384933
308,0.001539638
309,0.001539638
310,0.001539638
311,0.013748695
312,0.001539638
313,0.02829846
314,0.011213324
315,0.0088546295
316,0.00072058354
317,0.00072058354
318,0.00072058354
319,0.02829846
320,0.00072058354
321,0.07315174
322,0.03815949
323,0.035390183
324,0.005128247
325,0.005128247
326,0.005128247
327,0.07315174
328,0.005128247
329,0.04253101
330,0.01700336
331,0.015338851
332,0.001351962
333,0.001351962
334,0.001351962
335,0.04253101
336,0.001351962
337,0.07315174
338,0.03815949
339,0.035390183
340,0.005128247
341,0.005128247
342,0.005128247
343,0.07315174
344,0.005128247
345,0.07315174
346,0.03815949
347,0.035390183
348,0.005128247
349,0.005128247
350,0.005128247
351,0.07315174
352,0.005128247
353,0.013748695
354,0.011729015
355,0.0064384933
356,0.001539638
357,0.001539638
